orders_id,payment_id,customers_id,paypal_ipn_id,billing_address_format_id,delivery_address_format_id,customers_address_format_id,ipisp,ipaddy,cc_ccv,cc_type,currency,cc_start,cc_issue,cc_owner,cc_number,po_number,cc_expires,billing_name,account_name,payment_info,billing_city,orders_status,delivery_name,delivery_city,last_modified,cc_bank_phone,billing_state,customers_city,payment_method,currency_value,date_purchased,customers_name,billing_suburb,account_number,delivery_state,billing_country,customers_state,billing_company,delivery_suburb,delivery_country,delivery_company,billing_postcode,customers_suburb,customers_country,customers_company,delivery_postcode,customers_postcode,customers_telephone,orders_date_finished,billing_street_address,delivery_street_address,customers_email_address,customers_street_address,purchased_without_account
1,0,3,0,1,1,1,<blank>,<blank>,<blank>,<blank>,USD,NULL,NULL,<blank>,<blank>,<blank>,NULL,Paul Langford,<blank>,NULL,Chester,1,Paul Langford,Chester,2005-01-28 20:06:50,<blank>,<blank>,Chester,Credit Card,1.000000,2005-01-28 20:05:44,Paul Langford,<blank>,<blank>,<blank>,United Kingdom,<blank>,<blank>,<blank>,United Kingdom,<blank>,CH4 0SQ,<blank>,United Kingdom,<blank>,CH4 0SQ,CH4 0SQ,1254521452145,NULL,9 Hawker Close,9 Hawker Close,paul@ostemplates.com,9 Hawker Close,0
2,0,3,0,1,1,1,<blank>,<blank>,<blank>,<blank>,USD,NULL,NULL,<blank>,<blank>,<blank>,NULL,Paul Langford,<blank>,NULL,Chester,1,Paul Langford,Chester,2005-01-29 23:12:28,<blank>,<blank>,Chester,PayPal,1.000000,2005-01-29 23:10:31,Paul Langford,<blank>,<blank>,<blank>,United Kingdom,<blank>,<blank>,<blank>,United Kingdom,<blank>,CH4 0SQ,<blank>,United Kingdom,<blank>,CH4 0SQ,CH4 0SQ,1254521452145,NULL,9 Hawker Close,9 Hawker Close,paul@ostemplates.com,9 Hawker Close,0
3,0,4,0,1,1,1,<blank>,<blank>,<blank>,<blank>,USD,NULL,NULL,<blank>,<blank>,<blank>,NULL,Salvatore Iozzia,<blank>,NULL,Port Richey,1,Salvatore Iozzia,Port Richey,2005-01-30 00:53:09,<blank>,Florida,Port Richey,Credit Card,1.000000,2005-01-30 00:43:38,Salvatore Iozzia,<blank>,<blank>,Florida,United States,Florida,Chain Reaction Web,<blank>,United States,Chain Reaction Web,34668,<blank>,United States,Chain Reaction Web,34668,34668,813-843-4052,NULL,7438 Lake Forest Circle,7438 Lake Forest Circle,sal@chainreactionweb.com,7438 Lake Forest Circle,0
4,0,1,0,1,1,1,<blank>,<blank>,NULL,NULL,USD,NULL,NULL,NULL,NULL,NULL,NULL,John doe,NULL,NULL,NeverNever,1,John doe,NeverNever,NULL,<blank>,California,NeverNever,<blank>,1.000000,2005-03-25 15:21:44,John doe,<blank>,NULL,California,United States,California,ACME Inc.,<blank>,United States,ACME Inc.,12345,<blank>,United States,ACME Inc.,12345,12345,12345,NULL,1 Way Street,1 Way Street,root@localhost,1 Way Street,0
5,0,5,0,2,0,0,<blank>,<blank>,<blank>,<blank>,USD,NULL,NULL,<blank>,<blank>,NULL,NULL,adam tester,NULL,Merchant Partners (Credit Card): Master Card,miami,3,<blank>,<blank>,2005-06-13 10:29:19,<blank>,Florida,miami,Merchant Partners (Credit Card),1.000000,2005-04-12 22:33:52,adam tester,suburb,NULL,<blank>,United States,<blank>,domco,<blank>,<blank>,<blank>,10001,suburb,United States,domco,<blank>,10001,5555555,NULL,street,<blank>,adam@chainreactionweb.com,street,0
6,0,8,0,2,2,2,<blank>,<blank>,<blank>,<blank>,USD,NULL,NULL,<blank>,<blank>,<blank>,NULL,test test,<blank>,Make Payable To: Make Payable to:<br><br>Send To:<br>Store Name Address Country Phone<br><br>Your order will not ship until we receive payment.,last chance,3,test test,last chance,2005-06-13 17:15:44,<blank>,Nebraska,last chance,Check/Money Order,1.000000,2005-06-13 11:09:40,test test,<blank>,<blank>,Nebraska,United States,Nebraska,<blank>,<blank>,United States,<blank>,68901,<blank>,United States,<blank>,68901,68901,123 123 1234,NULL,123 123,123 123,test@lcoa.com,123 123,1
8,0,13,0,1,0,1,<blank>,<blank>,NULL,<blank>,USD,NULL,NULL,<blank>,<blank>,NULL,<blank>,Kiran Chitragar,NULL,NULL,Hubli,1,<blank>,<blank>,2005-08-28 13:29:21,<blank>,KA,Hubli,PayPal,1.000000,2005-08-28 13:29:21,Kiran Chitragar,<blank>,NULL,<blank>,India,KA,<blank>,<blank>,<blank>,<blank>,580030,<blank>,India,<blank>,<blank>,580030,232323,NULL,Nehrunagar,<blank>,kiran@webart4u.com,Nehrunagar,0
9,0,19,0,1,1,1,touchtelindia.n,59.144.33.44,<blank>,<blank>,USD,<blank>,<blank>,<blank>,<blank>,NULL,<blank>,Kiran Kumar,NULL,<blank>,City,1,Kiran Kumar,City,2006-01-27 18:46:02,<blank>,State,City,<blank>,1.000000,2006-01-27 18:46:02,Kiran Kumar,Suberb,NULL,State,Uruguay,State,Company,Suberb,Uruguay,Company,Zip COde,Suberb,Uruguay,Company,Zip COde,Zip COde,434234,NULL,Street Address,Street Address,kiran@webart4u.com,Street Address,1
10,0,20,0,2,2,2,verizon.net,71.105.81.135,<blank>,<blank>,USD,<blank>,<blank>,<blank>,<blank>,NULL,<blank>,Bob Schmitz,NULL,<blank>,Los Angeles,1,Bob Schmitz,Los Angeles,2006-01-27 19:36:00,<blank>,California,Los Angeles,<blank>,1.000000,2006-01-27 19:36:00,Bob Schmitz,#214,NULL,California,United States,California,<blank>,#214,United States,<blank>,90024,#214,United States,<blank>,90024,90024,310-499-4165,NULL,10600 Wilshire Blvd,10600 Wilshire Blvd,asverdlik@locglobal.com,10600 Wilshire Blvd,1
12,0,21,0,2,2,2,mindspring.com,72.40.97.244,212,Visa,USD,<blank>,<blank>,Salvatore2 Iozzia2,4111111111111111,NULL,0109,Salvatore2 Iozzia2,NULL,Credit Card : with CCV: Visa,Hudson,1,Salvatore2 Iozzia2,Hudson,2006-01-27 21:32:07,<blank>,Florida,Hudson,Credit Card : with CCV,1.000000,2006-01-27 21:32:07,Salvatore2 Iozzia2,Hudson,NULL,Florida,United States,Florida,Chain Reaction Web,Hudson,United States,Chain Reaction Web,34667,Hudson,United States,Chain Reaction Web,34667,34667,8002948182,NULL,12605 River Mill Drive,12605 River Mill Drive,sal2@chainreactionweb.com,12605 River Mill Drive,0
